,Name,Known For,id
132,Gérard Depardieu,Cyrano de Bergerac,367.0
133,Tom Cruise,Top Gun,129.0
134,Will Smith,The Fresh Prince of Bel-Air,226.0
135,Will Smith,The Fresh Prince of Bel-Air,810337.0
136,Jim Carrey,Eternal Sunshine of the Spotless Mind,120.0
137,Samy Naceri,Taxi,618651.0
138,Seth Rogen,This Is the End,736622.0
139,Brendan Fraser,The Mummy,409.0
140,Ahmet Kural,Dügün Dernek,2899002.0
141,Murat Cemcir,Ahlat Agaci,2139257.0
142,Devrim Yakut,Camdaki Kiz,
143,Sinasi Yurtsever,Hokkabaz,1759786.0
144,James McAvoy,Filth,564215.0
145,Shah Rukh Khan,Don 2,451321.0
146,Demet Evgar,Avlu,1728411.0
147,Tolga Çevik,Organize Isler,149184.0
148,Michael Douglas,Behind the Candelabra,140.0
149,Michael Douglas,Behind the Candelabra,235181.0
150,Michael Douglas,Behind the Candelabra,1389171.0
151,Michael Douglas,Behind the Candelabra,7193937.0
152,Michael Douglas,Behind the Candelabra,10591506.0
153,Haluk Bilginer,Kis Uykusu,82211.0
154,Will Ferrell,Talladega Nights: The Ballad of Ricky Bobby,2071.0
155,Will Ferrell,Talladega Nights: The Ballad of Ricky Bobby,8191764.0
156,Dustin Hoffman,The Graduate,163.0
157,Cameron Diaz,Vanilla Sky,139.0
158,Ashton Kutcher,That '70s Show,5110.0
159,Michael Cera,Superbad,148418.0
160,Jonah Hill,21 Jump Street,1706767.0
161,Siddharth,Rang De Basanti,796494.0
162,Siddharth,Rang De Basanti,1193461.0
163,Siddharth,Rang De Basanti,1413459.0
164,Siddharth,Rang De Basanti,3597493.0
165,Siddharth,Rang De Basanti,7031395.0
166,Siddharth,Rang De Basanti,7074761.0
167,Siddharth,Rang De Basanti,7750228.0
168,Siddharth,Rang De Basanti,10521632.0
169,Cuba Gooding Jr.,Jerry Maguire,421.0
170,Arnold Schwarzenegger,Terminator 2: Judgment Day,216.0
171,Benedict Cumberbatch,The Imitation Game,1212722.0
172,Aysen Gruda,Kagit,344346.0
173,Gene Hackman,The French Connection,432.0
174,Mel Gibson,Braveheart,154.0
175,Woody Harrelson,True Detective,437.0
176,Jesse Eisenberg,The Social Network,251986.0
177,Steve Carell,The Office,136797.0
178,Jeff Bridges,The Big Lebowski,313.0
179,John Goodman,10 Cloverfield Lane,422.0
180,John Goodman,10 Cloverfield Lane,2409539.0
181,John Goodman,10 Cloverfield Lane,7946596.0
182,Ben Affleck,Argo,255.0
183,Robin Williams,Mrs. Doubtfire,245.0
184,Robin Williams,Mrs. Doubtfire,4602837.0
185,Anthony Perkins,Psycho,578.0
186,Anthony Perkins,Psycho,10684966.0
187,Renée Zellweger,Chicago,250.0
188,Hugh Grant,Love Actually,424.0
189,Cary Grant,Charade,26.0
190,Cary Grant,Charade,4924133.0
191,Eva Mendes,Hitch,578949.0
192,Jack Black,School of Rock,85312.0
193,Jack Black,School of Rock,4795107.0
194,Milla Jovovich,The Fifth Element,170.0
195,Ken Watanabe,The Last Samurai,913822.0
196,Ken Watanabe,The Last Samurai,1222842.0
197,Ken Watanabe,The Last Samurai,3768381.0
198,Chris Tucker,Rush Hour 2,676.0
199,Chris Tucker,Rush Hour 2,2022732.0
200,Chris Tucker,Rush Hour 2,4412744.0
201,Chevy Chase,Caddyshack,331.0
202,Chevy Chase,Caddyshack,9889842.0
203,Chevy Chase,Caddyshack,9964914.0
204,Michael Rooker,Guardians of the Galaxy,740264.0
205,Mads Mikkelsen,Hannibal,586568.0
206,Woody Allen,Manhattan,95.0
207,Kevin Costner,The Postman,126.0
208,Emily Blunt,Edge of Tomorrow,1289434.0
209,John Krasinski,Jack Ryan,1024677.0
210,Cillian Murphy,Inception,614165.0
211,Daniel Day-Lewis,There Will Be Blood,358.0
212,James Stewart,Anatomy of a Murder,71.0
213,James Stewart,Anatomy of a Murder,3112754.0
214,James Stewart,Anatomy of a Murder,4356923.0
215,James Stewart,Anatomy of a Murder,5862393.0
216,Engin Günaydin,Vavien,1085525.0
217,Settar Tanriögen,Vavien,849789.0
218,Haley Joel Osment,The Sixth Sense,5286.0
219,Maggie Cheung,Fa yeung nin wah,1041.0
220,Tony Chiu-Wai Leung,Fa yeung nin wah,504897.0
221,Faye Wong,Chung Hing sam lam,910947.0
222,Takeshi Kitano,Zatôichi,1429.0
223,Adam Driver,Star Wars: Episode VII - The Force Awakens,3485845.0
224,Homayoun Ershadi,The Kite Runner,259831.0
225,Ma Dong-seok,Busanhaeng,
226,Eric Tsang,Mou gaan dou,874676.0
227,John Cusack,Grosse Pointe Blank,131.0
228,Greg Kinnear,As Good as It Gets,1427.0
229,Dominique Pinon,Delicatessen,684500.0
230,Kurt Russell,The Hateful Eight,621.0
231,Jake Gyllenhaal,Nightcrawler,350453.0
232,Eric Bana,Dirty John,51509.0
233,Jackie Chan,Ngo si seoi,329.0
234,Naomi Watts,Mulholland Dr.,915208.0
235,Shawn Wayans,White Chicks,915465.0
236,Keenen Ivory Wayans,White Chicks,5540.0
237,Michael Douglas,Behind the Candelabra,140.0
238,Michael Douglas,Behind the Candelabra,235181.0
239,Michael Douglas,Behind the Candelabra,1389171.0
240,Michael Douglas,Behind the Candelabra,7193937.0
241,Michael Douglas,Behind the Candelabra,10591506.0
242,Sean Penn,Mystic River,576.0
243,Jeremy Renner,The Hurt Locker,719637.0
244,Larry David,Curb Your Enthusiasm,202970.0
245,Adrien Brody,The Pianist,4778.0
246,Viggo Mortensen,The Lord of the Rings: The Return of the King,1557.0
